Model,Reference_number,Collection,Color_Case,Color_Strap,Description_Gender,Case_Diameter_Case_material,Material_Strap,Description_Movement,caliber_Time_display/function,Type_Clasp,Water_Resistant,Dial_description,Link_product
Thinline Quartz,H38511143,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38511143-jazzmaster-thinline-quartz.html
Day Date Auto,H70695735,Khaki Field,Black,Black,Men,Stainless steel,,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h70695735-khaki-field-day-date-auto.html
Day Date Auto,H32505511,Jazzmaster,White,Brown,Men,Stainless steel,Calf leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505511-jazzmaster-day-date-auto.html
Lady Hamilton Vintage Quartz,H31241113,American Classic,Mother of pearl,,,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h31241113-lady-hamilton.html
Boulton Small Second Quartz,H13321511,American Classic,White,Brown,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13321511-boulton.html
Boulton Small Second Quartz,H13321611,American Classic,White,Blue,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13321611-boulton.html
Day Date Auto,H70505833,Khaki Field,Black,Green,Men,Stainless steel,Calf leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h70505833-khaki-field-day-date-auto.html
Chrono Quartz,H32612555,Jazzmaster,Silver,Brown,Men,Stainless steel,Cow leather,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32612555-jazzmaster-chrono-quartz.html
Boulton Small Second Quartz,H13321811,American Classic,White,,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h13321811-boulton.html
Chrono Quartz,H32612155,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32612155-jazzmaster-chrono-quartz.html
Viewmatic Skeleton Gent Auto,H42545551,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42545551-jazzmaster-viewmatic-skeleton-gent-auto.html
Spirit of Liberty Auto,H42415051,American Classic,Silver,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415051-american-classic-spirit-of-liberty-auto.html
Spirit of Liberty Auto,H42415041,American Classic,,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415041-american-classic-spirit-of-liberty-auto-dial-blue-steel-bracelet.html
Viewmatic Skeleton Gent Auto,H42555751,Jazzmaster,Silver,Black,Men,Stainless steel,Calf leather,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42555751-jazzmaster-viewmatic-skeleton-gent-auto.html
Viewmatic Skeleton Gent Auto,H42555151,Jazzmaster,Silver,,Men,Stainless steel,Stainless steel,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42555151-jazzmaster-viewmatic-skeleton-gent-auto.html
Spirit of Liberty Auto,H42415031,American Classic,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415031-american-classic-spirit-of-liberty-auto.html
Regulator Cinema,H42605731,Jazzmaster,Black,Black,,Stainless steel,Cow leather,The H-12 is a regulator movement that allows the minutes and hours to be separated from one another on the dial for maximum practical impact. Favored for watches used in situations where minutes are all-important. Currently features on the Jazzmaster Regulator Auto.,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42605731-jazzmaster-regulator-cinema.html
King,H64465733,Khaki Field,Black,Black,,Stainless steel,Calf leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h64465733-khaki-field-king.html
RailRoad Skeleton Auto,H40655131,American Classic,Black,,Men,Stainless steel,Stainless steel,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40655131-american-classic-railroad-skeleton-auto.html
Open Heart Lady Auto,H32215730,Jazzmaster,Black,Black,Women,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32215730-jazzmaster-open-heart-lady-auto.html
RailRoad Skeleton Auto,H40655731,American Classic,Black,Black,Men,Stainless steel,Calf leather,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40655731-american-classic-railroad-skeleton-auto.html
Gent Quartz,H32441551,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32441551-jazzmaster-gent-quartz.html
RailRoad Skeleton Auto,H40655751,American Classic,Silver,Black,Men,Stainless steel,Calf leather,"By suppressing the escapement regulator and through the refinement of the kinematic chain from the barrel to the escapement, the H-10-S has the capacity to store double the power of comparable standard movements, offering an extended power reserve of up to 80 hours. ",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h40655751-american-classic-railroad-skeleton-auto.html
Day Date Auto,H32505751,Jazzmaster,Silver,Black,Men,Stainless steel,Calf leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32505751-jazzmaster-day-date-auto.html
Power Reserve Auto,H32635521,Jazzmaster,Beige,Brown,Men,Stainless steel,Calf leather,"For the Jazzmaster Power Reserve, Hamilton created the new H-13 movement with extended 80 hour power reserve, which is displayed on the dial through the power reserve indicator. The movement is tastefully decorated and visible through the see-through case back.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32635521-jazzmaster-power-reserve-auto.html
Pan Europ Day Date Auto,H35415761,American Classic,Green,Black,Men,Stainless steel,Cow leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h35415761-american-classic-pan-europ-auto.html
Power Reserve Auto,H32635731,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,"For the Jazzmaster Power Reserve, Hamilton created the new H-13 movement with extended 80 hour power reserve, which is displayed on the dial through the power reserve indicator. The movement is tastefully decorated and visible through the see-through case back.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32635731-jazzmaster-power-reserve-auto.html
Gent Quartz,H32451131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451131-jazzmaster-gent-quartz.html
Pan Europ Day Date Auto,H35405741,American Classic,Blue,Black,Men,Stainless steel,Canvas,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h35405741-american-classic-pan-europ-day-date-auto.html
Power Reserve Auto,H32635131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,"For the Jazzmaster Power Reserve, Hamilton created the new H-13 movement with extended 80 hour power reserve, which is displayed on the dial through the power reserve indicator. The movement is tastefully decorated and visible through the see-through case back.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32635131-jazzmaster-power-reserve-auto.html
Intra-Matic Auto Chrono,H38416141,American Classic,Blue,,,Stainless steel,Stainless steel,"The H-31 is a powerful automatic chronograph movement featuring an extended 60-hour power reserve, making it perfect for the demands of the sportiest of models. With an H pattern design on the oscillating bridge, there’s no mistaking who made this movement.",60-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h38416141-american-classic-intra-matic-auto-chrono.html
Open Heart Auto 42mm,H32705041,Jazzmaster,Blue,Light brown,Men,Stainless steel,Ostrich leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705041-jazzmaster-open-heart-gent.html
Thinline Auto,H38525111,Jazzmaster,White,,,Stainless steel,Stainless steel,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525111-jazzmaster.html
Seaview Day Date Quartz,H37551141,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h37551141-jazzmaster-seaview-day-date-quartz.html
Seaview Day Date Quartz,H37511131,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h37511131-jazzmaster-seaview-day-date-quartz.html
Gent Quartz,H32451731,Jazzmaster,Black,Black,Men,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451731-jazzmaster-gent-quartz.html
Thinline Auto,H38525811,Jazzmaster,White,Green,Men,Stainless steel,Calf leather,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525811-jazzmaster-thinline-auto.html
Thinline Auto,H38525881,Jazzmaster,Grey,Brown,Men,Stainless steel,Rubber,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525881-jazzmaster-thinline-auto.html
Scuba Quartz,H82201131,Khaki Navy,Black,,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82201131-khaki-navy-scuba-quartz.html
Scuba Quartz,H82201931,Khaki Navy,Black,Black,Men,Stainless steel,,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h82201931-khaki-navy-scuba-quartz.html
Viewmatic Auto,H32515145,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32515145-jazzmaster-viewmatic-auto.html
Viewmatic Auto,H32515641,Jazzmaster,Blue,Blue,Men,Stainless steel,,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32515641-jazzmaster-viewmatic-auto.html
Chrono Quartz,H32612131,Jazzmaster,Black,,,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32612131-jazzmaster.html
Open Heart Auto,H32565521,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32565521-jazzmaster-auto.html
Thinline Auto,H38525141,Jazzmaster,Blue,,,Stainless steel,Stainless steel,,42-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38525141-jazzmaster.html
Pilot Day Date Auto,H64615585,Khaki Aviation,Grey,Brown,Men,Stainless steel,Cow leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64615585-khaki-aviation-pilot-day-date-auto.html
Pilot Day Date Auto,H64615735,Khaki Aviation,Black,Black,Men,Stainless steel,Calf leather,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64615735-khaki-aviation-pilot-day-date-auto.html
Pilot Day Date Auto,H64615135,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"With an extended power reserve of up to 80 hours, the H-40 is both beautiful and bold. Almost double than market standard, 80 hours power reserve means you can remove your watch on Friday and it will still be ticking on Monday.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h64615135-khaki-aviation-pilot-day-date-auto.html
Converter Auto,H76625530,Khaki Aviation,Black,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76625530-khaki-aviation-converter.html
Converter Auto,H76615130,Khaki Aviation,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76615130-khaki-aviation-converter.html
Converter Auto,H76615530,Khaki Aviation,Black,Brown,Men,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76615530-khaki-aviation-converter.html
Open Heart Auto,H32705521,Jazzmaster,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705521-jazzmaster-auto.html
Converter Auto,H76635730,Khaki Aviation,Black,Black,,Stainless steel,Cow leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h76635730-khaki-aviation-converter.html
Open Heart Auto,H32705121,Jazzmaster,Beige,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32705121-jazzmaster-auto.html
Open Heart Auto,H32115892,Jazzmaster,Mother of pearl,White,Women,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32115892-jazzmaster.html
Open Heart Auto,H24515732,Ventura,Black,Black,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24515732-ventura.html
Open Heart Auto,H24515552,Ventura,Silver,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24515552-ventura.html
Quartz,H24211732,Ventura,Black,Black,Women,Stainless steel,Calf leather,,,Mineral,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24211732-ventura-quartz.html
Open Heart Auto,H32115192,Jazzmaster,Mother of pearl,Silver,Women,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32115192-jazzmaster.html
Auto,H24515591,Ventura,Brown,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24515591-ventura-auto.html
Auto,H32475140,Jazzmaster,Blue,,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32475140-jazzmaster-auto.html
Power Reserve Auto,H32635541,Jazzmaster,Blue,Brown,,Stainless steel,Calf leather,"For the Jazzmaster Power Reserve, Hamilton created the new H-13 movement with extended 80 hour power reserve, which is displayed on the dial through the power reserve indicator. The movement is tastefully decorated and visible through the see-through case back.",,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32635541-jazzmaster.html
Auto,H24515551,Ventura,Silver,Brown,Men,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24515551-ventura-auto.html
Auto,H32475130,Jazzmaster,Black,,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32475130-jazzmaster-auto.html
Auto,H32475120,Jazzmaster,Beige,,,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32475120-jazzmaster-auto.html
Chrono Quartz,H32612141,Jazzmaster,Blue,,,Stainless steel,Stainless steel,,,Sapphire,10 bar (100m)/145 psi (328ft),,https://www.hamiltonwatch.com/en-int/h32612141-jazzmaster.html
Gent Quartz,H32451141,Jazzmaster,Blue,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32451141-jazzmaster-gent-quartz.html
Thinline Small Second Quartz,H38411180,Jazzmaster,Grey,Silver,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38411180-jazzmaster.html
Spirit of Liberty Auto,H42415801,American Classic,Brown,Green,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415801-spirit-of-liberty.html
Spirit of Liberty Auto,H42415691,American Classic,,Blue,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415691-spirit-of-liberty.html
Spirit of Liberty Auto,H42415501,American Classic,Brown,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h42415501-spirit-of-liberty.html
Day Date Auto,H70505733,Khaki Field,Black,Black,Men,Stainless steel,Calf leather,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h70505733-khaki-field-day-date-auto.html
Day Date Auto,H70505133,Khaki Field,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with a day-date function and boasting  a superior power reserve of 80 hours, the H-30 appears with intricate contrasting snail and pearled patterns for some models.



",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h70505133-khaki-field-day-date-auto.html
Auto,H32475520,Jazzmaster,Beige,Brown,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32475520-jazzmaster-auto.html
Auto,H32475730,Jazzmaster,Black,Black,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32475730-jazzmaster-auto.html
Thinline Small Second Quartz,H38411540,Jazzmaster,Blue,Brown,,Stainless steel,Calf leather,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38411540-jazzmaster.html
Thinline Small Second Quartz,H38441553,Jazzmaster,Silver,Brown,Men,Stainless steel,Canvas,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38441553-jazzmaster-thinline-small-second-quartz.html
Thinline Small Second Quartz,H38411183,Jazzmaster,Black,,Men,Stainless steel,Stainless steel,,,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h38411183-jazzmaster-thinline-small-second-quartz.html
Elvis80 Auto,H24555131,Ventura,Black,,Men,Stainless steel,Stainless steel,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24555131-ventura-elvis80-auto.html
Auto,H32475640,Jazzmaster,Blue,Blue,,Stainless steel,Calf leather,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h32475640-jazzmaster-auto.html
XXL Auto,H24655331,Ventura,Black,Black,Men,Stainless steel,Rubber,"A three-hand movement with or without a date function and boasting  a superior power reserve of 80 hours, the H-10 appears with intricate contrasting snail and pearled patterns for the American Classic models it drives and streamlined surfaces for the pilots’ watches.",80-hour power reserve,Sapphire,5 bar (50m)/73 psi (164ft),,https://www.hamiltonwatch.com/en-int/h24655331-ventura-xxl-auto.html
